点検掲示種類ID,点検工事案内,受注カテゴリーID,掲示板に表示する,案内TPLNo,掲示板用案内文,frame_No,案内画像,概要,表示開始日前日数,表示終了日後日数,表示時間,統合ポリシー
1,エレベーター定期点検,8,True,elevator_inspection,"点検中はエレベーター停止致します。_x000D_
ご不便をおかけします。",2,,,30,0,1900-12-30 00:00:12,M
2,リモート点検,8,False,elevator_inspection,,2,,,30,0,1900-12-30 00:00:12,M
3,建物設備点検,4,True,building_inspection,点検のため、マンション内に調査員が立ち入りいたします。,2,,,30,0,1900-12-30 00:00:12,M
4,消防設備点検,9,True,fire_inspection,消防法令　第17条3の3に基づく消防設備点検です。避難器具の周囲には障害物を置かないで下さい是正対象となります。当日点検に伺う場合があります。点検予定希望日の事前アンケートにご協力下さい。,2,fire_inspection.pdf,,30,0,1900-12-30 00:00:12,M
5,貯水槽清掃（断水）,10,True,simple_dedicated_water_supply,断水中は蛇口を閉めて下さい。断水中に蛇口を開けると、閉め忘れて漏水事故の恐れがあります。断水前に飲料水等の必要な水の確保をお願いします。トイレご排水にはお風呂の汲み置きが有効です。,2,,,30,0,1900-12-30 00:00:12,M
6,簡易専用水道検査,11,True,building_inspection,点検のため、マンション内に調査員が立ち入り貯水槽の水質検査を行います。,2,,,30,0,1900-12-30 00:00:12,M
7,自動扉点検,12,True,automatic_doors,点検のため、マンション内に点検員が立ち入りいたします。点検中に、オートロックが反応しない場合は点検員へお声をかけて頂きますよう、お願い致します。,2,,,30,0,1900-12-30 00:00:12,M
8,機械式駐車場点検,13,True,mechanical_parking,"作業状況によっては入出庫に多少お待ち頂く場合がございます。_x000D_
入出庫の際は作業員へお声をかけて頂きますよう、お願い致します。_x000D_
＊雨天・緊急等の場合　順延する場合があります。",2,,,30,0,1900-12-30 00:00:12,M
9,タワー式駐車場点検,14,True,tower_mechanical_parking,"作業状況によっては入出庫に多少お待ち頂く場合がございます。_x000D_
入出庫の際は作業員へお声をかけて頂きますよう、お願い致します。_x000D_
＊雨天・緊急等の場合　順延する場合がございます。",2,,,30,0,1900-12-30 00:00:12,M
10,防犯カメラ点検,16,True,surveillance_camera,点検のため、マンション内に点検員が立ち入りいたします。,2,surveillance_camera.pdf,,30,0,1900-12-30 00:00:12,M
11,防犯カメラ取付工事,16,True,surveillance_camera_installation_work,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
12,給水ポンプ点検（断水）,17,True,water_supply_pump_construction,断水中は蛇口を閉めて下さい。断水中に蛇口を開けると、閉め忘れて漏水事故の恐れがあります。断水前に飲料水等の必要な水の確保をお願いします。トイレご排水にはお風呂の汲み置きが有効です。,2,,,30,0,1900-12-30 00:00:12,M
13,定期清掃,19,True,cleaning,床面が滑りやすくなっている場合があります。ご通行の際はご注意下さい。一時的に通行をご遠慮いただく事もございます。ご協力お願いします。,2,cleaning.pdf,,30,0,1900-12-30 00:00:12,M
14,特別清掃,20,True,cleaning,"床面が滑りやすくなっている場合があります。ご通行の際はご注意下さい。一時的に通行をご遠慮いただく事もございます。ご協力お願いします。_x000D_
＊雨天などの理由で、清掃日時を変更させて頂く場合もございます。",2,,,30,0,1900-12-30 00:00:12,M
15,エントランス定期清掃,19,True,cleaning,床面が滑りやすくなっている場合があります。ご通行の際はご注意下さい。一時的に通行をご遠慮いただく事もございます。ご協力お願いします。,2,,,30,0,1900-12-30 00:00:12,M
16,照明器具清掃,20,True,construction_light,"床面が滑りやすくなっている場合があります。ご通行の際はご注意下さい。一時的に通行をご遠慮いただく事もございます。ご協力お願いします。_x000D_
＊雨天などの理由で、清掃日時を変更させて頂く場合もございます。",2,,,30,0,1900-12-30 00:00:12,M
17,共用部電気設備点検（停電）,70,True,shared_electrical_equipment,点検中、水道、エレベータ、インターホン、インターネット、機械駐車場が使えなくなります,2,,,30,0,1900-12-30 00:00:12,M
18,共用部電気設備点検,70,True,shared_electrical_equipment,点検のため、マンション内に調査員が立ち入りいたします。,2,,,30,0,1900-12-30 00:00:12,M
19,消防設備点検ご協力のお願い,9,True,fire_inspection,消防設備誤作動調査のため、お部屋に声をかけさせて頂く場合があります。ご協力お願いいたします、,2,,,30,0,1900-12-30 00:00:12,M
20,宅配ボックス点検,15,True,delivery_box,"点検状況によっては入出庫に多少お待ち頂く場合がございます。_x000D_
入出庫の際は点検員へお声をかけて頂きますよう、お願い致します。",2,mail_box.pdf,,30,0,1900-12-30 00:00:12,M
21,植栽の手入れ,23,True,planting_management,植栽の手入れ、剪定あとの片づけのため、トラックを駐車いたします。＊雨天・緊急等の場合　順延する場合があります。,2,planting_management.pdf,,30,0,1900-12-30 00:00:12,M
22,芝生の手入れ,23,True,planting_management,芝刈り中は危険ですのでそばを通らないようお願いします。＊雨天・緊急等の場合　順延する場合があります。,2,planting_management.pdf,,30,0,1900-12-30 00:00:12,M
23,植栽の消毒作業,23,True,disinfection_tree,"薬剤散布がございます。_x000D_
2～３階の方は、洗濯物を薬剤散布以降に干して頂きます様にお願い申し上げます。",2,disinfection_tree,,30,0,1900-12-30 00:00:12,M
24,マット交換,22,True,,ただいま、マットの準備中です。雨天の際に足元が滑りやすくなりますのでご注意ください。,2,,,30,0,1900-12-30 00:00:12,M
25,お部屋の排水管洗浄,39,True,drainage_pipe,作業は２０分程で台所、浴室、洗面所の各排水口を洗浄致します。排水口付近の整理と在宅にご協力ください。入居者様の費用負担はございませんが、未実施で発生した排水管の詰まりによる事故及び漏水等の被害は入居者様負担となりますので、必ず実施をお願い申し上げます。,2,drain_pipe_cleaning_truck.pdf,,30,0,1900-12-30 00:00:12,M
26,お部屋と共用の排水管洗浄,39,True,drainage_pipe,作業は２０分程で台所、浴室、洗面所の各排水口を洗浄致します。排水口付近の整理と在宅にご協力ください。入居者様の費用負担はございませんが、未実施で発生した排水管の詰まりによる事故及び漏水等の被害は入居者様負担となりますので、必ず実施をお願い申し上げます。,2,,,30,0,1900-12-30 00:00:12,M
27,音、振動を伴う工事,48,True,construction_involving_sound_vibration,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,construction_involving_sound_vibration.pdf,,30,0,1900-12-30 00:00:12,M
28,自動販売機工事,58,True,vending_machine_construction,作業のため、マンション敷地内に作業員が立ち入ります。物の搬入のため車両を駐車いたします。雨天の場合　順延する場合があります。,2,vending_machine_construction.pdf,,30,0,1900-12-30 00:00:12,M
29,屋上防水工事,139,True,waterproof_construction,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,waterproof_construction.pdf,,30,0,1900-12-30 00:00:12,M
30,鉄部塗装,141,True,iron_part_coating,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
31,自転車撤去,133,True,bicycle_removal,"建物敷地内駐輪場における放置自転車等の調査・撤去を行います。_x000D_
なお、契約ステッカーを貼付されていない方はご購入下さい。_x000D_
ご協力の程よろしくお願い致します。",2,,,30,0,1900-12-30 00:00:12,M
32,バイク置場工事,67,True,construction_involving_sound_vibration,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
33,外壁タイル調査,38,True,exterior_wall_tile_inspection,調査員が立ち入り、音と振動を伴います。また外壁を調査員が下がってきますので窓のカーテンを閉めてください。雨天のため順延する場合がございます。,2,exterior_wall_tile_inspection.pdf,,30,0,1900-12-30 00:00:12,M
34,特殊建築物調査,38,True,building_inspection,点検のため、マンション内に調査員が立ち入りいたします。雨天の場合　順延する場合があります。,2,,,30,0,1900-12-30 00:00:12,M
35,駐車場工事,43,True,construction_involving_sound_vibration,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
36,インターネット機器工事,58,True,questionnaire_conducted02,インターネット機器工事を行います　工事中はインターネットの利用ができません,2,,,30,0,1900-12-30 00:00:12,M
37,機械式駐車場工事,43,True,mechanical_parking,"作業には音と振動を伴います。機械式駐車場が使用できない場合があります。契約車両の移動をお願いする場合もございますのでご協力お願いします。_x000D_
＊雨天・緊急対応等の場合　順延する場合があります。",2,,,30,0,1900-12-30 00:00:12,M
38,ポンプ工事（断水）,44,True,water_supply_pump_construction,断水中は蛇口を閉めて下さい。断水中に蛇口を開けると、閉め忘れて漏水事故の恐れがあります。断水前に飲料水等の必要な水の確保をお願いします。トイレご排水にはお風呂の汲み置きが有効です。,2,,,30,0,1900-12-30 00:00:12,M
39,貯水槽清掃,10,True,simple_dedicated_water_supply,貯水槽清掃のため、マンション内に作業員が立ち入りいたします。断水はありませんが完了後、濁り水が出る場合があります。その際はしばらく流してご使用ください。,2,,,30,0,1900-12-30 00:00:12,M
40,給水ポンプ点検,17,True,water_supply_pump_construction,点検のため、マンション内に点検員が立ち入りいたします。断水はありませんが点検完了後、濁り水が出る場合があります。その際はしばらく流してご使用ください。,2,,,30,0,1900-12-30 00:00:12,M
41,給水ポンプ点検,4,True,water_supply_pump_construction,点検のため、マンション内に点検員が立ち入りいたします。,2,,,30,0,1900-12-30 00:00:12,M
42,携帯アンテナ工事,58,True,construction_mobile_antenna,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
43,宅配ボックス使用停止中,154,True,delivery_box_stop_using,ご不便をおかけいたしています。対応中ですのでもうしばらくお待ちください。,2,,,30,0,1900-12-30 00:00:12,M
44,共用部の排水管洗浄,39,True,shared_area_drain_pipe_wash,共用部の排水管洗浄を行います。工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。,2,,,30,0,1900-12-30 00:00:12,M
45,消防設備連結管耐圧試験,51,True,shared_area_drain_pipe_inspection,耐圧試験のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
46,エレベーター定期点検,8,True,elevator_inspection,"作業中はエレベーターのご利用を停止致します。
ご不便をおかけします。",2,,,30,0,1900-12-30 00:00:12,M
47,外壁タイル工事,153,True,construction_outer wall,作業には音と振動を伴います。また物の搬入のため車両を駐車いたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
48,カードリーダー更新工事,138,True,card_reader,工事中に、オートロックが反応しない場合は別の出入り口に頂きますよう、お願い致します。,2,,,30,0,1900-12-30 00:00:12,M
49,エレベータマット取替工事,135,True,elevator_mat_replacement,"作業中はエレベーターのご利用を停止致します。_x000D_
ご不便をおかけします。",2,,,30,0,1900-12-30 00:00:12,M
50,エレベーター保守作業,151,True,elevator_inspection,"作業中はエレベーターのご利用を停止致します。_x000D_
ご不便をおかけします。",2,,,30,0,1900-12-30 00:00:12,M
51,特別清掃,48,True,high_pressure_cleaning,"床面が滑りやすくなっている場合があります。ご通行の際はご注意下さい。一時的に通行をご遠慮いただく事もございます。ご協力お願いします。_x000D_
＊雨天などの理由で、清掃日時を変更させて頂く場合もございます。",2,AAA,,30,0,1900-12-30 00:00:12,M
52,作業のため作業員が入ります,48,True,construction_without_sound,工事のためマンション敷地内に作業員が立ち入ります。また荷物搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
53,消防設備点検アンケート,9,True,questionnaire_conducted01,消防点検のアンケートを配布しております。ご協力お願いいたします。,2,,,30,0,1900-12-30 00:00:12,M
54,消防設備工事アンケート,143,True,questionnaire_conducted01,消防設備改修のための、のアンケートを配布しております。ご協力お願いいたします。,2,,,30,0,1900-12-30 00:00:12,M
55,排水管洗浄アンケート,39,True,questionnaire_conducted01,排水管洗浄のアンケートを配布しております。ご協力お願いいたします。,2,,,30,0,1900-12-30 00:00:12,M
56,インターホン工事アンケート,136,True,questionnaire_conducted01,インターホン取替工事のアンケートを配布しております。ご協力お願いいたします。,2,,,30,0,1900-12-30 00:00:12,M
57,入居者様アンケート,92,True,questionnaire_conducted02,アンケート結果は、今後の物件企画・開発の為に参考にさせて頂きます。ご協力お願い致します。,2,,,30,0,1900-12-30 00:00:12,M
58,1年点検アンケート,73,True,questionnaire_conducted02,竣工1年目のアフター点検のアンケートを配布しております。ご協力お願いいたします。,2,,,30,0,1900-12-30 00:00:12,M
59,2年点検アンケート,73,True,questionnaire_conducted02,竣工2年目のアフター点検のアンケートを配布しております。ご協力お願いいたします。,2,,,30,0,1900-12-30 00:00:12,M
60,大規模修繕工事アンケート,74,True,questionnaire_conducted02,大規模修繕に伴うアンケートを配布しております。ご協力お願いいたします。,2,,,30,0,1900-12-30 00:00:12,M
61,給水ポンプ点検（断水）,17,True,water_supply_pump_construction,断水中は蛇口を閉めて下さい。断水中に蛇口を開けると、閉め忘れて漏水事故の恐れがあります。断水前に飲料水等の必要な水の確保をお願いします。トイレご排水にはお風呂の汲み置きが有効です。,2,,,30,0,1900-12-30 00:00:12,M
62,チャリチャリ設置工事,133,True,merchari_installation,マンションに、シェアサイクルのポートを設置しております,2,,,30,0,1900-12-30 00:00:12,M
63,携帯アンテナ工事,58,True,construction_mobile_antenna,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
64,消防訓練掲示,9,True,fire_extinguisher_explain,訓練中に、放送、警報が鳴る場合がございます,2,,,30,0,1900-12-30 00:00:12,M
65,ターンテーブル点検,94,True,mechanical_parking_turntable,"作業状況によっては入出庫に多少お待ち頂く場合がございます。_x000D_
入出庫の際は作業員へお声をかけて頂きますよう、お願い致します。_x000D_
＊雨天・緊急等の場合　順延する場合があります。",2,,,30,0,1900-12-30 00:00:12,M
66,建築設備調査,38,True,building_inspection,点検のため、マンション内に調査員が立ち入りいたします。雨天の場合　順延する場合があります。,2,,,30,0,1900-12-30 00:00:12,M
67,植栽の手入れ,146,True,planting_management,植栽の手入れ、剪定あとの片づけのため、トラックを駐車いたします。＊雨天・緊急等の場合　順延する場合があります。,2,,,30,0,1900-12-30 00:00:12,M
68,コインパーキング工事,120,True,construction_coin_parking,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
69,音、振動を伴う工事,78,True,construction_involving_sound_vibration,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,construction_involving_sound_vibration.pdf,,30,0,1900-12-30 00:00:12,M
70,自転車撤去,133,True,bicycle_removal,"建物敷地内駐輪場における放置自転車等の調査・撤去を行います。_x000D_
なお、契約ステッカーを貼付されていない方はご購入下さい。_x000D_
ご協力の程よろしくお願い致します。",2,,,30,0,1900-12-30 00:00:12,M
71,活水装置工事,40,True,water_activator_construction,断水中は蛇口を閉めて下さい。断水中に蛇口を開けると、閉め忘れて漏水事故の恐れがあります。断水前に飲料水等の必要な水の確保をお願いします。トイレご排水にはお風呂の汲み置きが有効です。,2,,,30,0,1900-12-30 00:00:12,M
72,インターホン工事,136,True,construction_Intercom,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
73,共用部照明工事,137,True,construction_light,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
74,カードリーダー工事,138,True,card_reader,"工事のため,カードリーダーが使用できません。作業には音と振動を伴います。皆様のご理解をお願いいたします。",2,,,30,0,1900-12-30 00:00:12,M
75,連結送水管耐圧試験,51,True,shared_area_drain_pipe_inspection,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
76,自動販売機工事,58,True,vending_machine_construction_2,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
77,携帯アンテナ工事,58,True,construction_mobile_antenna,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
78,大規模修繕工事,74,True,construction_building_large_scale,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
79,外壁タイル工事,74,True,construction_outer_wall,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
80,視聴設備更新工事,140,True,construction_television_equipment,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
81,JCOMケーブル工事,140,True,construction_jcom_cable,点検のため、マンション内に調査員が立ち入りいたします。雨天の場合　順延する場合があります。,2,,,30,0,1900-12-30 00:00:12,M
82,消防改修工事,143,True,fire_construction,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
83,有線放送工事,140,True,construction_toolbox,工事のためマンション敷地内に作業員が立ち入ります。,2,,,30,0,1900-12-30 00:00:12,M
84,ガラス清掃,72,True,glass_clean,工事のためマンション敷地内に作業員が立ち入り、作業には音と振動を伴います。また物の搬入のため車両を駐車いたしますので、皆様のご理解をお願いいたします。雨天のため順延する場合がございます。,2,,,30,0,1900-12-30 00:00:12,M
85,共用部電気設備点検（停電）,144,True,shared_electrical_equipment,点検中、水道、エレベータ、インターホン、インターネット、機械駐車場が使えなくなります,2,,,30,0,1900-12-30 00:00:12,M
86,特定防火対象物点検,38,True,building_inspection,点検のため、マンション内に調査員が立ち入りいたします,2,,,30,0,1900-12-30 00:00:12,M
